"dnsRecordID","score","rank","label","y","TP","FP"
"1","1",0,"null",0,0,0
"6019","2.05806188023447e-07",2040274,"bad",1,6.90846286701209e-05,0.0117013731513415
"6006","6.86246516158587e-07",2630614,"bad",2,0.000138169257340242,0.0150870852226133
"6009","7.53972530081137e-07",2681724,"bad",3,0.000207253886010363,0.0153802055454288
"6009","7.53972530081137e-07",2681733,"bad",4,0.000276338514680484,0.0153802514270267
"6019","8.75096010242752e-07",2739605,"bad",5,0.000345423143350604,0.015712153170392
"6021","9.73239948718486e-07",2767229,"bad",6,0.000414507772020725,0.0158705765924338
"6010","1.04931764734293e-06",2779565,"bad",7,0.000483592400690846,0.0159413202810587
"6008","1.58633965078525e-06",2847890,"bad",8,0.000552677029360967,0.016333172067164
"6017","2.03828208755774e-06",3068407,"bad",9,0.000621761658031088,0.0175978753700265
"6017","2.03828208755774e-06",3068408,"bad",10,0.000690846286701209,0.0175978753700265
"6017","2.03828208755774e-06",3068409,"bad",11,0.00075993091537133,0.0175978753700265
"6017","2.03828208755774e-06",3068410,"bad",12,0.000829015544041451,0.0175978753700265
"6017","2.03828208755774e-06",3068411,"bad",13,0.000898100172711572,0.0175978753700265
"6017","2.03828208755774e-06",3068412,"bad",14,0.000967184801381693,0.0175978753700265
"6017","2.03828208755774e-06",3068413,"bad",15,0.00103626943005181,0.0175978753700265
"6018","2.23377680942858e-06",3271196,"bad",16,0.00110535405872193,0.0187608706409414
"6018","2.23377680942858e-06",3271197,"bad",17,0.00117443868739206,0.0187608706409414
"6018","2.23377680942858e-06",3271198,"bad",18,0.00124352331606218,0.0187608706409414
"6019","2.30190626502691e-06",3358033,"bad",19,0.0013126079447323,0.0192588809739819
"6017","2.48810127920087e-06",3627688,"bad",20,0.00138169257340242,0.0208054005209993
"6017","2.48810127920087e-06",3627689,"bad",21,0.00145077720207254,0.0208054005209993
"6017","2.48810127920087e-06",3627690,"bad",22,0.00151986183074266,0.0208054005209993
"6017","2.48810127920087e-06",3627691,"bad",23,0.00158894645941278,0.0208054005209993
"6017","2.48810127920087e-06",3627692,"bad",24,0.0016580310880829,0.0208054005209993
"6017","2.48810127920087e-06",3627693,"bad",25,0.00172711571675302,0.0208054005209993
